Month,Price,Change
1995-01,31.08589065539248,0.0
1995-02,30.906489623354283,-0.0058
1995-03,31.275901425884545,0.012
1995-04,31.20131174948157,-0.0024
1995-05,30.569871557863262,-0.0202
1995-06,30.43387400131818,-0.0045000000000000005
1995-07,30.413940553313935,-0.0007000000000000001
1995-08,30.586911440834633,0.005699999999999999
1995-09,30.965003938463518,0.0124
1995-10,31.194560097738197,0.0074
1995-11,31.454980950696868,0.0084
1995-12,31.63824006944556,0.0058
1996-01,32.834246949700194,0.0378
1996-02,33.149324031057596,0.0096
1996-03,32.396032600832704,-0.0227
1996-04,31.738228816692654,-0.0203
1996-05,31.414149533010754,-0.0102
1996-06,30.92320799909978,-0.015600000000000001
1996-07,30.710048708344722,-0.0069
1996-08,31.04280868712524,0.0108
1996-09,30.79267606539457,-0.008100000000000001
1996-10,30.70683363608597,-0.0028000000000000004
1996-11,30.664394682270483,-0.0014000000000000002
1996-12,29.96190139373382,-0.0229
1997-01,28.44438728760429,-0.0506
1997-02,27.70074107415564,-0.026099999999999998
1997-03,28.011317054350798,0.011200000000000002
1997-04,27.692381886282895,-0.011399999999999999
1997-05,27.71456588486826,0.0008
1997-06,27.56249296702943,-0.0055000000000000005
1997-07,26.846496375006026,-0.026000000000000002
1997-08,28.622502290738982,0.0661
1997-09,31.275258411432795,0.09269999999999999
1997-10,34.317038275435245,0.0973
1997-11,33.31972286077129,-0.0291
1997-12,34.986094812480914,0.05
1998-01,40.882858842252475,0.1685
1998-02,36.57948462391692,-0.10529999999999999
1998-03,35.5921359332551,-0.027000000000000003
1998-04,36.98683427910043,0.0392
1998-05,36.704229427556385,-0.0076
1998-06,37.56201070619062,0.023399999999999997
1998-07,39.12228527336151,0.0415
1998-08,38.347452859003006,-0.019799999999999998
1998-09,35.4281672480589,-0.0761
1998-10,36.1544520713103,0.020499999999999997
1998-11,35.93357660713425,-0.0060999999999999995
1998-12,35.63521790152234,-0.0083
1999-01,35.07322327069301,-0.0158
1999-02,35.103766457151124,0.0009
1999-03,34.93658269969618,-0.0048
1999-04,34.528590030060926,-0.011699999999999999
1999-05,33.77336955648078,-0.0219
